,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
0,ecs.n4.2xlarge,optimized,vpc,linux,us-east-1,2.347,1089.2,304.97,11109.84,18298.56,19605.6,26140.8,32676.0
1,ecs.xn4.small,optimized,vpc,linux,ap-south-1,0.075,38.0,10.64,387.6,638.4,684.0,912.0,1140.0
2,ecs.n2.medium,optimized,vpc,windows,cn-qingdao,0.969,294.0,82.32,2998.8,4939.2,5292.0,7056.0,8820.0
3,ecs.se1ne.large,optimized,vpc,windows,ap-southeast-3,1.624,907.25,267.4,8595.0,13752.0,15471.0,16502.4,17190.0
4,ecs.g5.16xlarge,optimized,vpc,windows,cn-beijing,26.913,7752.0,2284.8,73440.0,117504.0,132192.0,141004.8,146880.0
5,ecs.sn1ne.2xlarge,optimized,vpc,windows,cn-qingdao,3.42,984.2,290.08,9324.0,14918.4,16783.2,17902.08,18648.0
6,ecs.e3.medium,optimized,vpc,windows,me-east-1,2.199,1218.0,341.04,12423.6,24847.2,37270.8,49694.4,62118.0
7,ecs.n4.small,optimized,vpc,windows,cn-zhangjiakou,0.218,67.0,18.76,683.4,1125.6,1206.0,1608.0,2010.0
8,ecs.t5-lc1m4.large,optimized,vpc,linux,cn-shanghai,0.523,151.05,44.52,1431.0,2289.6,2575.8,2747.52,2862.0
9,ecs.hfc5.xlarge,optimized,vpc,windows,ap-southeast-5,2.538,1524.04,449.18,14438.25,23101.2,25988.85,27721.44,28876.5
10,ecs.n4.large,optimized,vpc,windows,ap-southeast-2,0.572,331.0,92.68,3376.2,5560.8,5958.0,7944.0,9930.0
11,ecs.se1ne.14xlarge,optimized,vpc,windows,eu-central-1,53.83,28559.67,8417.6,270565.29,432904.46,487017.52,519485.36,541130.58
12,ecs.mn4.large,optimized,vpc,windows,cn-hongkong,1.254,646.0,180.87,6589.2,10852.8,11628.0,15504.0,19380.0
13,ecs.n4.4xlarge,optimized,classic,windows,cn-hangzhou,5.67,1632.0,456.96,16646.4,27417.6,29376.0,39168.0,48960.0
14,ecs.d1-c14d3.14xlarge,optimized,vpc,linux,us-west-1,31.52,14377.3,4237.52,136206.0,217929.6,245170.8,261515.52,272412.0
15,ecs.se1ne.large,optimized,vpc,windows,us-east-1,1.63,883.78,260.47,8372.7,13396.32,15070.86,16075.58,16745.4
16,ecs.t5-lc1m1.small,optimized,vpc,linux,cn-hongkong,0.09,35.15,10.35,333.0,532.8,599.4,639.36,666.0
17,ecs.gn5i-c16g1.8xlarge,optimized,vpc,windows,cn-beijing,29.687,8550.0,2520.0,81000.0,129600.0,145800.0,155520.0,162000.0
18,ecs.g5.6xlarge,optimized,vpc,linux,cn-beijing,10.098,2907.0,856.8,27540.0,44064.0,49572.0,52876.8,55080.0
19,ecs.sn1.7xlarge,optimized,vpc,windows,cn-shanghai,13.67,4144.0,1160.32,42268.8,69619.2,74592.0,99456.0,124320.0
20,ecs.hfc5.large,optimized,vpc,windows,ap-south-1,1.176,712.99,210.15,6754.68,10807.49,12158.42,12968.99,13509.36
21,ecs.mn4.xlarge,optimized,vpc,linux,cn-beijing,2.043,620.0,173.6,6324.0,10416.0,11160.0,14880.0,18600.0
22,ecs.t5-lc1m1.small,optimized,vpc,linux,ap-southeast-5,0.084,37.05,10.91,351.0,561.6,631.8,673.92,702.0
23,ecs.t5-lc1m2.small,optimized,vpc,linux,cn-qingdao,0.159,45.6,13.44,432.0,691.2,777.6,829.44,864.0
24,ecs.hfc5.2xlarge,optimized,vpc,windows,cn-shanghai,3.686,1060.2,312.48,10044.0,16070.4,18079.2,19284.48,20088.0
25,ecs.xn4.small,optimized,classic,windows,cn-beijing,0.16,45.0,12.6,459.0,756.0,810.0,1080.0,1350.0
26,ecs.n4.small,optimized,vpc,windows,ap-south-1,0.217,122.0,34.16,1244.4,2049.6,2196.0,2928.0,3660.0
27,ecs.n4.small,optimized,classic,windows,cn-hangzhou,0.29,84.0,23.52,856.8,1411.2,1512.0,2016.0,2520.0
28,ecs.t5-c1m2.2xlarge,optimized,vpc,linux,cn-qingdao,1.52,438.9,129.36,4158.0,6652.8,7484.4,7983.36,8316.0
29,ecs.c2.xlarge,optimized,vpc,windows,cn-shenzhen,8.171,2352.0,658.56,23990.4,39513.6,42336.0,56448.0,70560.0
30,ecs.hfg5.8xlarge,optimized,vpc,linux,cn-qingdao,19.104,5502.4,1621.76,52128.0,83404.8,93830.4,100085.76,104256.0
31,ecs.s1.small,none,classic,linux,cn-beijing,0.211,45.0,12.6,459.0,756.0,810.0,1080.0,1350.0
32,ecs.t5-c1m1.4xlarge,optimized,vpc,linux,cn-hangzhou,2.194,632.7,186.48,5994.0,9590.4,10789.2,11508.48,11988.0
33,ecs.e3.small,optimized,vpc,windows,cn-shenzhen,0.817,249.0,69.72,2539.8,4183.2,4482.0,5976.0,7470.0
34,ecs.sn1.3xlarge,optimized,vpc,linux,us-east-1,4.714,2178.4,609.94,22219.68,36597.12,39211.2,52281.6,65352.0
35,ecs.hfg5.14xlarge,optimized,vpc,windows,cn-beijing,29.051,8367.6,2466.24,79272.0,126835.2,142689.6,152202.24,158544.0
36,ecs.t5-c1m1.xlarge,optimized,vpc,windows,ap-southeast-3,0.551,279.3,82.32,2646.0,4233.6,4762.8,5080.32,5292.0
37,ecs.e3.large,optimized,classic,linux,cn-qingdao,3.46,996.0,278.88,10159.2,16732.8,17928.0,23904.0,29880.0
38,ecs.sn2ne.4xlarge,optimized,vpc,linux,ap-southeast-3,6.45,2923.15,861.56,27693.0,44308.8,49847.4,53170.56,55386.0
39,ecs.cm4.4xlarge,optimized,vpc,windows,cn-beijing,13.3,2606.8,768.32,24696.0,39513.6,44452.8,47416.32,49392.0
40,ecs.g5.8xlarge,optimized,vpc,windows,us-east-1,20.779,11554.17,3405.43,109460.52,175136.83,197028.94,210164.2,218921.04
41,ecs.sn1.3xlarge,optimized,classic,linux,cn-hangzhou,7.19,2072.0,580.16,21134.4,34809.6,37296.0,49728.0,62160.0
